Track_URI,Track_Name,Main_Artist,Album,Track_Popularity,Release_Year,Album_Popularity,Artist_Popularity,Artist_Followers,Artist_Genres
spotify:track:4erxKXU7U8hApfgcCCDfYZ,"You Know What It Is - New Explicit",T.I.,"T.I. vs. T.I.P.",0,2007,0,72,4639486,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
spotify:track:3MWJpbO2r47bcJOYvSHC3r,"Watch What You Say To Me - feat. Jay-Z",T.I.,"T.I. vs. T.I.P.",0,2007,0,72,4639486,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
spotify:track:7FPhXugtJJhhLBKzzBN46k,"Help Is Coming",T.I.,"T.I. vs. T.I.P.",0,2007,0,72,4639486,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
spotify:track:5zdrolWIuXS2P0f1Y8FFo9,"We Do This",T.I.,"T.I. vs. T.I.P.",0,2007,0,72,4639486,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
spotify:track:2NDKV3vGmWzabB2JUBhalS,"Respect This Hustle",T.I.,"T.I. vs. T.I.P.",0,2007,0,72,4639486,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
spotify:track:7uXS7EXdqFIxLN9vUuzWdz,"Popped Off",T.I.,"11 Months and One Day",0,2012,0,72,4639486,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
spotify:track:36ovc9Eh8dNHgNo7IM5REu,"Scenario - LP Mix","A Tribe Called Quest","The Anthology",0,1999,0,65,1936639,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop"
spotify:track:4AKRYDror3CkKVc7QscUng,"When I B On Tha Mic",Rakim,"The Master",0,1999,0,56,823524,"east coast hip hop"
spotify:track:1W0kNCcayKnN9uyLoEkcxH,You,Evidence,You,0,2011,0,42,92429,"alternative hip hop"
spotify:track:18QIFGJhp9S0nGpDRL8RdN,"Late For The Sky feat. Slug & Aesop Rock",Evidence,"Cats & Dogs [Deluxe Edition]",0,2011,0,42,92429,"alternative hip hop"
spotify:track:1qdio9s42GqmD5XgnOj80x,"Good Times - Bonus Track",Evidence,"Cats & Dogs [Deluxe Edition]",0,2011,0,42,92429,"alternative hip hop"
spotify:track:3iHdDUCflE5tM18Aj8vuRJ,"Take A Hit","Mack 10","Keep Their Heads Ringin'",40,1995,61,53,696170,"g funk, gangster rap, west coast rap"
spotify:track:1rylJ0VXvhOzLGNm401iaI,"Keep Their Heads Ringin'","Dr. Dre","Keep Their Heads Ringin'",71,1995,61,78,10140981,"g funk, gangster rap, hip hop, rap, west coast rap"
spotify:track:2ky1zLODMPkEF6F9U1gxDu,"State of Elevation","Dillon Cooper","Kitsun? Maison Compilation 15",0,2013,0,46,36574,
spotify:track:2wD3LhUzTSWBJjL52TFrc7,"My Band",D12,"D-12 World",0,2004,0,63,2956963,"detroit hip hop, gangster rap, hip hop"
spotify:track:5OY8EtE7tt2nM4c0oxhJY8,"Fight Music",D12,"Devils Night",0,2001,0,63,2956963,"detroit hip hop, gangster rap, hip hop"
spotify:track:2Zuv8yMOYeF2TFERAOWJgS,"American Psycho II",D12,"D-12 World",0,2004,0,63,2956963,"detroit hip hop, gangster rap, hip hop"
spotify:track:0f1yzIIGD8k32DNVeEn6jb,"You Gots To Chill",EPMD,"Strictly Business",54,1988,50,49,381705,"east coast hip hop, golden age hip hop, hip hop, old school hip hop"
